cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000346,JVM-3,JVM3,Lymphoid,Mature B-Cell Neoplasms,B-Cell Prolymphocytic Leukemia,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000348,RPMI-7951,RPMI7951,Skin,Melanoma,Melanoma,RPMI7951_SKIN
ACH-000350,COLO-678,COLO678,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COLO678_LARGE_INTESTINE
ACH-000352,HCC1428,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,HCC1428_BREAST
ACH-000354,Capan-1,CAPAN1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CAPAN1_PANCREAS
ACH-000355,NCI-H82,NCIH82,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH82_LUNG
ACH-000356,MKN-45,MKN45,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,MKN45_STOMACH
ACH-000359,MG-63,MG63,Bone,Osteosarcoma,Osteosarcoma,MG63_BONE
ACH-000361,SK-HEP-1,SKHEP1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SKHEP1_LIVER
ACH-000362,MOLM-13,MOLM13,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000363,SK-MM-2,SKMM2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000364,U-2 OS,U2OS,Bone,Osteosarcoma,Osteosarcoma,U2OS_BONE
ACH-000365,SU-DHL-4,SUDHL4,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000366,SK-N-DZ,SKNDZ,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNDZ_AUTONOMIC_GANGLIA
ACH-000367,NCI-H226,NCIH226,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",NCIH226_LUNG
ACH-000368,SNU-1105,SNU1105,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SNU1105_CENTRAL_NERVOUS_SYSTEM
ACH-000370,SNU-626,SNU626,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SNU626_CENTRAL_NERVOUS_SYSTEM
ACH-000371,RL,RL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000373,SKM-1,SKM1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000374,HCC1143,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1143_BREAST
ACH-000375,G-402,G402,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,G402_SOFT_TISSUE
ACH-000376,SF-295,SF295,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SF295_CENTRAL_NERVOUS_SYSTEM
ACH-000377,SNU-478,SNU478,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,SNU478_BILIARY_TRACT
ACH-000378,NCI-H647,NCIH647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NCIH647_LUNG
ACH-000381,T84,T84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,T84_LARGE_INTESTINE
ACH-000383,OE33,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,OE33_OESOPHAGUS
ACH-000385,SK-RC-52,SKRC52,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,SKRC52_KIDNEY
ACH-000387,TF-1,TF1,Myeloid,Acute Myeloid Leukemia,"AML, NOS",TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000389,H4,H4,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",H4_CENTRAL_NERVOUS_SYSTEM
ACH-000390,LUDLU-1,LUDLU1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUDLU1_LUNG
ACH-000391,MHH-ES-1,MHHES1,Bone,Ewing Sarcoma,Ewing Sarcoma,MHHES1_BONE
ACH-000393,HLF,HLF,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HLF_LIVER
ACH-000395,NCI-H520,NCIH520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH520_LUNG
ACH-000396,J82,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,J82_URINARY_TRACT
ACH-000397,TEN,TEN,Uterus,Endometrial Carcinoma,Uterine Clear Cell Carcinoma,TEN_ENDOMETRIUM
ACH-000398,RI-1,RI1,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000401,COLO-800,COLO800,Skin,Melanoma,Cutaneous Melanoma,COLO800_SKIN
ACH-000402,BL-70,BL70,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000403,NCI-H747,NCIH747,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,NCIH747_LARGE_INTESTINE
ACH-000404,K029AX,K029AX,Skin,Melanoma,Cutaneous Melanoma,K029AX_SKIN
ACH-000405,MEC-1,MEC1,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000406,U-937,U937,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000407,SNU-685,SNU685,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,SNU685_ENDOMETRIUM
ACH-000408,TE-5,TE5,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE5_OESOPHAGUS
ACH-000410,Saos-2,SAOS2,Bone,Osteosarcoma,Osteosarcoma,SAOS2_BONE
ACH-000411,769-P,769P,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,769P_KIDNEY
ACH-000414,NCI-H1944,NCIH1944,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1944_LUNG
ACH-000415,BICR 6,BICR6,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,BICR6_UPPER_AERODIGESTIVE_TRACT
ACH-000416,NCI-H838,NCIH838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH838_LUNG
ACH-000417,Panc 08.13,PANC0813,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC0813_PANCREAS
ACH-000420,SNU-449,SNU449,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU449_LIVER
ACH-000421,SW837,SW837,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SW837_LARGE_INTESTINE
ACH-000422,SNU-475,SNU475,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU475_LIVER
ACH-000424,TC-71,TC71,Bone,Ewing Sarcoma,Ewing Sarcoma,TC71_BONE
ACH-000425,UACC-62,UACC62,Skin,Melanoma,Melanoma,UACC62_SKIN
ACH-000427,NCI-N87,NCIN87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,NCIN87_STOMACH
ACH-000430,TYK-nu,TYKNU,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,TYKNU_OVARY
ACH-000431,NCI-H1694,NCIH1694,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1694_LUNG
ACH-000433,Caki-1,CAKI1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CAKI1_KIDNEY
ACH-000434,NCI-H1915,NCIH1915,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1915_LUNG
ACH-000435,EFE-184,EFE184,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,EFE184_ENDOMETRIUM
ACH-000436,OCI-My7,OCIMY7,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000437,SW 1088,SW1088,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",SW1088_CENTRAL_NERVOUS_SYSTEM
ACH-000438,Lu-65,LU65,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,LU65_LUNG
ACH-000441,SH-4,SH4,Skin,Melanoma,Melanoma,SH4_SKIN
ACH-000442,RERF-LC-Sq1,RERFLCSQ1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,RERFLCSQ1_LUNG
ACH-000444,LU99,LU99,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,LU99_LUNG
