gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
ALDH18A1,5,1,Matrix,1.3389
OXSM,4,1,Matrix,0.9808
KYAT3,5,1,Matrix,0.9619
TARS2,6,1,Matrix,0.9808
TBRG4,7,1,Matrix,0.7744
TMEM65,2,1,MIM,0.7744
ROMO1,8,1,MIM,1.44
PRDX5,10,1,Matrix,0.9253
DNAJC15,8,1,MIM,1.1378
MAIP1,8,1,Matrix,0.9677
HIGD1A,1|2,2,MIM,1.1635
RHOT2,11|13,2,MOM,1.2802
SLC25A44,5|9,2,MIM,1.0666
HAO2,5,1,unknown,1.1264
OXA1L,2,1,MIM,0.979
SLC25A46,9|11,2,MOM,1.1635
RDH14,5,1,Membrane,1.1476
CA5B,5,1,Matrix,0.9148
COASY,5,1,Matrix,0.9314
CISD3,5,1,Matrix,0.9314
GSTZ1,10,1,Matrix,1.2923
COX6B2,2,1,MIM,1.0771
GLOD4,5,1,Matrix,0.8141
ACAA1,5,1,unknown,1.3717
CROT,4,1,unknown,0.9887
PDF,6,1,Matrix,1.2586
COX19,2|5,2,IMS,1.3427
AMT,5,1,Matrix,0.9702
PDPR,3,1,Matrix,0.9702
NLN,8,1,Matrix,0.8072
BOLA1,5,1,Matrix,1.4131
ALAS2,5,1,Matrix,1.437
GRPEL2,5|8,2,Matrix,0.897
ALDH7A1,5|10,2,Matrix,0.9755
HDHD5,5,1,Matrix,1.1954
GFER,8,1,IMS,1.1189
IMMP2L,8,1,MIM,1.1995
COX4I2,2,1,MIM,1.44
MRPL39,6,1,Matrix,1.0251
AADAT,5,1,Matrix,1.0778
FUNDC2,11,1,MOM,1.2672
LYPLA1,5,1,unknown,1.3053
PDHA2,3,1,Matrix,1.1405
MTRF1L,6,1,Matrix,0.8303
GTPBP3,5|7,2,Matrix,0.8303
MTHFD2L,5,1,Matrix,0.8063
YME1L1,8,1,MIM,1.4266
ACOT2,5,1,Matrix,1.0977
COA8,2,1,MIM,1.1405
MMAB,5,1,Matrix,1.0217
PPOX,5,1,MIM,1.1753
ABCD3,9,1,Membrane,0.9145
SIRT3,5,1,Matrix,1.1448
LDHD,2,1,MIM,1.2685
MRPL45,6,1,Matrix,1.2225
IMMP1L,8,1,MIM,1.449
POLG,7,1,Matrix,0.9163
ATPAF1,2,1,Matrix,1.44
BLOC1S1,5,1,unknown,1.2936
ALDH1L2,5,1,Matrix,0.9002
COX18,2,1,MIM,1.0059
CPOX,5,1,MIM,1.1157
NNT,5,1,MIM,1.2002
NDUFAF8,0,1,IMS,0.9864
ATP23,8,1,IMS,1.2096
DCAKD,9,1,Membrane,1.1776
ATP5MF,2,1,MIM,1.3112
SFXN3,5|9,2,MIM,1.2096
AASS,5,1,Matrix,1.1088
DIABLO,12,1,IMS,0.7757
COX8C,2,1,MIM,0.7834
PXMP2,2,1,MIM,0.8649
AGXT2,5,1,Matrix,1.4553
GLS2,5,1,Matrix,1.0771
APOO,11,1,MIM,1.584
ACAD11,4,1,MIM,1.2
C5orf63,5,1,Matrix,0.8832
HOGA1,5,1,Matrix,0.9063
TTC19,1,1,MIM,0.7197
NGRN,6|7,2,Matrix,1.4653
TCAIM,5,1,Matrix,1.3536
GCSH,4|5,2,Matrix,1.242
SIRT5,5,1,Matrix,1.0977
GPT2,5,1,Matrix,0.9071
TOMM6,8,1,MOM,1.152
FAM162A,2,1,MIM,0.924
ABCB6,5|9,2,MOM,1.0678
MACROD1,5,1,Matrix,0.7744
TST,10,1,Matrix,1.1582
MT-CO1,2|5,2,MIM,1.449
MTFR1L,5,1,unknown,1.0656
SDR39U1,5,1,unknown,1.2807
DMGDH,5,1,Matrix,0.9716
SLC25A14,9|10,2,MIM,1.0666
PRELID3A,4,1,IMS,1.0666
CHCHD5,10,1,IMS,1.0584
TOMM70,8,1,MOM,1.0256
NIT1,10,1,Matrix,1.0349
FAHD1,3,1,Matrix,1.3844
MCU,9|13,2,MIM,1.1848
CYP27A1,4|5,2,MIM,0.754
MT-ND2,0,1,MIM,1.449
MT-ND4,0,1,MIM,1.449
MT-ND5,0,1,MIM,1.449
DELE1,2,1,MIM,0.8467
FASTKD1,7,1,Matrix,1.3632
MRPS31,6,1,Matrix,0.8496
ALDH1L1,5,1,Matrix,1.0192
PTCD1,7,1,Matrix,0.8064
