cell_line_id,perturbation_gene,delta_00,delta_01,delta_02,delta_03,delta_04,delta_05,delta_06,delta_07,delta_08,delta_09,delta_10,delta_11,delta_12,delta_13
ACH-000009,PDK4,0.0,0.0,0.0,0.041585187796543535,0.0,0.0,0.0,0.0,0.0,-2.397400948988718,0.0,-1.8460217907473577,0.0,-1.3396823722239333
ACH-000009,SLC25A13,2.093458523675622,1.3396823722239333,2.6906093517442287,-38.845726788913915,2.619341175103642,-12.662409075593867,3.2130670387823557,2.517403019217454,2.2411961986321103,0.004302897896631266,2.3045874000113713,0.0,2.1764625125283033,-17.758740502835128
ACH-000009,HCCS,2.093458523675622,1.3396823722239333,2.6906093517442287,1.8084854872761866,0.0,0.00598918886224228,3.2130670387823557,2.517403019217454,2.2411961986321103,0.0,2.3045874000113713,0.0,2.1764625125283033,0.0
ACH-000009,SLC25A5,0.0,1.3396823722239333,0.0,0.0,0.0,0.0,3.2130670387823557,0.0,2.2411961986321103,-0.007630633064893868,0.0,0.0,-32.247396918167254,0.0
ACH-000009,MCUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.304627253106613,0.0,-1.8460217907473577,0.0,34.726683886561105
ACH-000009,LIG3,2.093458523675622,1.3396823722239333,2.6906093517442287,1.8084854872761866,0.0,0.0,3.2130670387823557,-27.902009623469272,2.2411961986321103,0.0,2.3045874000113713,0.0,2.1764625125283033,0.0
ACH-000009,ACSM3,0.0,1.3396823722239333,0.0,0.0,-1.274410905073565,0.0,3.2130670387823557,2.517403019217454,2.2411961986321103,0.0,0.0,0.0,2.1764625125283033,0.0
ACH-000009,CROT,0.0,0.0,0.0,0.0,0.007404233569450764,0.0,0.0,0.0,0.0,0.0,0.0,-1.8460217907473577,0.0,-1.3396823722239333
ACH-000009,PDK2,0.0,0.0,0.0,0.08922731467262596,0.0,0.0,0.0,0.0,0.0,-2.397400948988718,0.0,-1.8460217907473577,0.0,-1.3396823722239333
ACH-000009,SPATA20,2.093458523675622,1.3396823722239333,2.6906093517442287,1.8084854872761866,2.619341175103642,-12.688368983229202,3.2130670387823557,2.517403019217454,2.2411961986321103,0.0,2.3045874000113713,0.0,2.1764625125283033,0.0
