,SPCA_00,SPCA_01,SPCA_02,SPCA_03,SPCA_04,SPCA_05,SPCA_06,SPCA_07,SPCA_08,SPCA_09,SPCA_10,SPCA_11,SPCA_12,SPCA_13
ACH-000017,0.6985707332508699,2.647830687469452,2.490616372354166,-0.2524408950035922,1.1357146456923772,6.419848919959199,3.1520785244725267,3.1968268035439475,2.5245096639166777,-0.3015588951047643,1.5695324455341164,-3.405437653695012,1.761787620444293,-1.104660290760728
ACH-000018,-2.669317968165058,0.47884799611784484,-0.678401122888956,0.23120446715221643,1.675100355924366,-0.4202583079387188,2.776027928464716,3.1690064338238706,2.0713524857491836,-0.03776312181769101,-2.0829365317094126,-3.171981093687896,0.530835752867334,-1.5863985117376633
ACH-000019,-1.2545551977457219,1.8028556727830323,0.01248151448666935,1.8197500149003014,0.8205016922089992,3.553114752447757,2.166056756120851,1.2868135073464886,0.960375785176646,-0.45796367314526853,1.4149081221384248,-0.6666170209726607,-0.8442056643350918,-0.06772607887146444
ACH-000021,-2.3851706042188616,-0.5323705936648913,-2.781236816290695,1.0874641587900429,1.1291184713718414,0.14337821530319178,-1.9333639494666723,-2.2217468659747204,0.7986260040080082,-1.953021960020349,-1.2335513554493012,-0.2868095656262679,1.0479241508748602,-0.36561248235151117
ACH-000022,4.303879503057044,1.8113038608090812,4.326426477005439,2.0856351481510567,2.494701275597516,6.216540152501726,3.259382695508932,1.8561113699349887,0.6406072162752088,-0.03639692150947247,4.652949684763786,-1.9396908699060325,0.7747469741441416,-0.7339319303198686
ACH-000023,-1.4826783628443245,-0.3992626237325505,-1.9477375155817647,-0.9126712997152331,-1.7821498468039452,-3.4961297318069313,2.777531256118571,1.2812707648307031,-0.040872802929882976,1.3823644530219474,-1.659726958164885,-1.5946411667684526,-0.9673344079295616,-0.1769385101388025
ACH-000024,1.1132900920612419,0.1585477013266685,1.2151613995831088,-1.5341669762377257,-2.6114895796187603,-3.339754822223663,2.7073721681238765,1.5485466012340219,0.23944571468121298,3.2221260466798665,-1.5113121632909718,0.3533608011707505,-2.4610283369696258,-0.03144228870836885
ACH-000025,-1.9622368911411618,-0.6307512382019994,-1.2880639861046403,-1.0957214978921441,-1.0213527996591845,-4.308306468844703,0.2223579696297997,0.5780209832926559,0.24410039754387197,0.10081530391065123,-2.6819419929139734,-1.2846011722502948,0.5716238124476605,0.1772591296954138
ACH-000026,0.04077988587127378,-0.601671608773265,-0.17187420294556333,1.0925930610307903,0.8252580647881759,1.4796351504024796,2.6064642830300975,2.094779592556978,0.4784869383012702,-2.004099109929935,-0.6126155348993684,-0.4411269633087138,-0.7737283575771545,-0.6340866236784616
ACH-000028,0.6896006128058588,2.066027659306877,1.432896184940901,2.427625902456541,2.480989166911865,5.095576778422084,4.156007538867218,2.383064286791818,1.849698635140947,-0.945399319010938,2.6023308586691707,-1.391734623539798,0.5334289642342651,-0.5096468385511643
ACH-000029,1.1020401583996418,-0.2853273787722998,1.4222657010574926,1.9426393716422719,1.8967254926501675,2.4420440425781935,-0.1936376452721833,0.3416599638196945,-0.08301458935423878,-1.4880985652490206,1.0291941803034994,0.017208501939510804,0.8607095151616349,-1.0852062492014551
ACH-000030,3.4892847001005554,1.2524681084498104,3.1350196517750812,2.3359889583455775,3.070014998351883,4.46355883787047,1.335223638114102,1.9908376900657871,0.7097958973767178,-2.9382728188730147,2.5757545466488345,-1.7535477195219866,2.8262024994201953,-1.8172880717681958
